OBJECTID,Join_Count,TARGET_FID,ID,Status,Facility_N,Product_Ty,Product,Facility_o,Facility_A,Facility_C,Facility_S,Facility_Z,Facility_P,Latitude,Longitude,Facility_L,Facility_1,Facility_W,Production,Producti_1,State_FIPS,County_FIP,State_Coun,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID_x,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Unnamed__0,Name,totalPop,whitePop,blackPop,indigenous,asianPop,hawaiiPaci,hispanicPo,B03001_027,malePop,femalePop,lessHighSc,highSchl,someUni,uniBach,uniGrad,incBelowPo,incLessHal,unemployed,miningOGJo,state,county,tract,blockGroup,menHealthC,womenHealt,disabledPo,GEOID_y,geoid_form,P_D2_PM25,P_D2_OZONE,P_D2_DSLPM,P_D2_CANCER,P_D2_RESP,P_D2_RSEI_AIR,P_D2_PTRAF,P_D2_LDPNT,P_D2_PNPL,P_D2_PRMP,P_D2_PTSDF,P_D2_UST,P_D2_PWDIS,P_D5_PM25,P_D5_OZONE,P_D5_DSLPM,P_D5_CANCER,P_D5_RESP,P_D5_RSEI_AIR,P_D5_PTRAF,P_D5_LDPNT,P_D5_PNPL,P_D5_PRMP,P_D5_PTSDF,P_D5_UST,P_D5_PWDIS,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_CANCER,P_RESP,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,EXCEED_COUNT_80_SUP,T_D2_PM25,T_D2_OZONE,T_D2_DSLPM,T_D2_CANCER,T_D2_RESP,T_D2_RSEI_AIR,T_D2_PTRAF,T_D2_LDPNT,T_D2_PNPL,T_D2_PRMP,T_D2_PTSDF,T_D2_UST,T_D2_PWDIS,T_D5_PM25,T_D5_OZONE,T_D5_DSLPM,T_D5_CANCER,T_D5_RESP,T_D5_RSEI_AIR,T_D5_PTRAF,T_D5_LDPNT,T_D5_PNPL,T_D5_PRMP,T_D5_PTSDF,T_D5_UST,T_D5_PWDIS,T_DEMOGIDX_2,T_DEMOGIDX_5,T_PEOPCOLORPCT,T_LOWINCPCT,T_UNEMPPCT,T_LINGISOPCT,T_LESSHSPCT,T_UNDER5PCT,T_OVER64PCT,T_LIFEEXPPCT,T_OZONE,T_DSLPM,T_CANCER,T_RESP,T_RSEI_AIR,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,ID_1,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED_1,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_CANCER,D5_CANCER,D2_RESP,D5_RESP,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,B_DEMOGIDX_2,B_DEMOGIDX_5,B_PEOPCOLORPCT,B_LOWINCPCT,B_UNEMPPCT,B_LINGISOPCT,B_LESSHSPCT,B_UNDER5PCT,B_OVER64PCT,B_LIFEEXPPCT,B_PM25,B_OZONE,B_DSLPM,B_CANCER,B_RESP,B_RSEI_AIR,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_D2_PM25,B_D5_PM25,B_D2_OZONE,B_D5_OZONE,B_D2_DSLPM,B_D5_DSLPM,B_D2_CANCER,B_D5_CANCER,B_D2_RESP,B_D5_RESP,B_D2_RSEI_AIR,B_D5_RSEI_AIR,B_D2_PTRAF,B_D5_PTRAF,B_D2_LDPNT,B_D5_LDPNT,B_D2_PNPL,B_D5_PNPL,B_D2_PRMP,B_D5_PRMP,B_D2_PTSDF,B_D5_PTSDF,B_D2_UST,B_D5_UST,B_D2_PWDIS,B_D5_PWDIS,T_PM25,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,SYMBOLOGY_EXCEED_COUNT_80,EXCEED_COUNT_90,EXCEED_COUNT_90_SUP
11,1,36,5087,C,Lithion Battery Inc.,Cell Assemblies/ Groupings,Modules/ Arrays,lithionbattery.com,"7375 Commercial Way, Suite 150",Henderson,NV,89011,702-478-3590,36.05478239,-115.0241359,36.05478239,-115.0241359, , , ,32,003,32003,32,003,005112,1,320030051121,1500000US320030051121,Block Group 1,G5030,S,12284629,0,+36.0487198,-115.0120595,970,"Block Group 1; Census Tract 51.12; Clark County; Nevada""",3051,1693,510,29,468,0,0,0,1397,1654,0,0,0,0,0,0,244,0,0,32,003,005112,1,0,0,0,3.2003E+15,320030051121,20,77,79,73,80,79,76,44,0,81,76,70,83,10,66,70,64,69,65,65,26,0,69,65,56,71,59,31,70,26,23,0,61,34,21,66,10,83,93,52,70,82,86,28,0,98,85,67,99,0,20 %ile,77 %ile,79 %ile,73 %ile,80 %ile,79 %ile,76 %ile,44 %ile,0 %ile,81 %ile,76 %ile,70 %ile,83 %ile,10 %ile,66 %ile,70 %ile,64 %ile,69 %ile,65 %ile,65 %ile,26 %ile,0 %ile,69 %ile,65 %ile,56 %ile,71 %ile,59 %ile,31 %ile,70 %ile,26 %ile,23 %ile,0 %ile,61 %ile,34 %ile,21 %ile,66 %ile,83 %ile,93 %ile,52 %ile,70 %ile,82 %ile,86 %ile,28 %ile,0 %ile,98 %ile,85 %ile,67 %ile,99 %ile,320030051121,Nevada,NV,Clark County,9,2534,2534,1703,834,1023,1393,0.355564325,0.093916544,1438,0.567482242,364,0.143646409,9,0.006460876,0,0,186,0.109219025,82,0.032359905,221,0.087213891,0.21025641,6.249847123,66.43437,0.546215918,30,0.4,3693.758237,367.6009679,63,0.061583578,0.004587686,3.14542451,3.882787982,3.055564994,693.9940372,3.55564325,0.93916544,29.51183898,7.795073152,33.06748223,8.734238592,18.4893449,4.883660288,24.88950275,6.57415808,29.15627465,7.701156608,30.57853195,8.076822784,9.9558011,2.629663232,0,0,34.84530385,9.203821312,30.22296763,7.98290624,23.82280978,6.292408448,35.20086818,9.297737856,6,4,8,3,3,1,7,4,3,7,2,9,10,6,8,9,9,3,1,11,9,7,11,3,2,8,7,8,8,8,7,9,7,8,7,8,7,5,3,1,1,9,7,8,7,8,6,9,8,10 %ile,12284629,0,0,5,3,1-13 EJ Indexes over 80th %tile,0,0
12,1,37,5088,C,Lithion Battery Inc.,Cell Assemblies/ Groupings,Packs,lithionbattery.com,"2590 Oakmont Drive, Suite 310",Round Rock,TX,78655,512-527-2999,30.55318857,-97.68353882,30.55318857,-97.68353882, , , ,48,491,48491,48,491,021513,1,484910215131,1500000US484910215131,Block Group 1,G5030,S,2626210,51196,+30.5491774,-097.6833319,303,"Block Group 1; Census Tract 215.13; Williamson County; Texas""",1959,1253,516,31,56,0,0,0,858,1101,0,0,0,0,0,0,8,0,0,48,491,021513,1,0,0,0,4.8491E+15,484910215131,88,80,70,45,68,26,64,0,36,84,82,76,79,81,73,61,35,57,15,54,0,19,75,75,65,67,76,59,73,72,0,0,66,92,56,40,84,63,47,5,31,10,41,0,14,74,72,56,57,1,88 %ile,80 %ile,70 %ile,45 %ile,68 %ile,26 %ile,64 %ile,0 %ile,36 %ile,84 %ile,82 %ile,76 %ile,79 %ile,81 %ile,73 %ile,61 %ile,35 %ile,57 %ile,15 %ile,54 %ile,0 %ile,19 %ile,75 %ile,75 %ile,65 %ile,67 %ile,76 %ile,59 %ile,73 %ile,72 %ile,0 %ile,0 %ile,66 %ile,92 %ile,56 %ile,40 %ile,63 %ile,47 %ile,5 %ile,31 %ile,10 %ile,41 %ile,0 %ile,14 %ile,74 %ile,72 %ile,56 %ile,57 %ile,484910215131,Texas,TX,Williamson County,6,1754,1680,809,774,1041,681,0.521730263,0.146586246,1090,0.621436716,709,0.42202381,0,0,0,0,103,0.127317676,216,0.123147092,299,0.170467503,0.183589744,9.561739452,63.0574,0.205050981,20,0.3,13.10006965,52.32837403,0,0,0.017611441,0.450835016,1.850608998,1.696402262,0.002838438,43.82534209,12.31324466,32.86900657,9.234933498,24.52132236,6.889553562,2.608651315,0.73293123,16.17363815,4.544173626,5.21730263,1.46586246,21.39094078,6.010036086,0,0,7.304223682,2.052207444,38.60803946,10.8473822,37.56457894,10.55420971,29.21689473,8.208829776,29.73862499,8.355416022,8,6,8,8,1,1,7,10,6,5,9,7,5,1,4,2,5,1,2,8,8,6,6,9,9,9,8,8,7,5,4,7,6,3,2,7,6,1,1,4,2,9,8,9,8,8,7,8,7,84 %ile,2626210,51196,0,1,4,1-13 EJ Indexes over 80th %tile,0,0
13,1,44,5097,C,Emporia,Non-cell Components,Thermal Systems,https://www.morganthermalceramics.com/en-gb/industries/battery-safety/,221 Weaver St,Emporia,KS,66801,620-343-2308,38.40017098,-96.1550138,38.40017098,-96.1550138, , , ,20,111,20111,20,111,000500,1,201110005001,1500000US201110005001,Block Group 1,G5030,S,5984238,52818,+38.3927404,-096.1571530,20,"Block Group 1; Census Tract 5; Lyon County; Kansas""",1060,549,0,0,0,0,0,0,622,438,0,0,0,0,0,0,8,0,0,20,111,000500,1,0,0,0,2.0111E+15,201110005001,70,83,61,44,87,33,48,80,29,80,83,69,32,70,87,61,44,90,26,46,79,21,82,86,68,26,76,79,73,71,0,81,91,90,47,76,44,71,34,5,70,13,24,59,11,66,74,44,13,4,70 %ile,83 %ile,61 %ile,44 %ile,87 %ile,33 %ile,48 %ile,80 %ile,29 %ile,80 %ile,83 %ile,69 %ile,32 %ile,70 %ile,87 %ile,61 %ile,44 %ile,90 %ile,26 %ile,46 %ile,79 %ile,21 %ile,82 %ile,86 %ile,68 %ile,26 %ile,76 %ile,79 %ile,73 %ile,71 %ile,0 %ile,81 %ile,91 %ile,90 %ile,47 %ile,76 %ile,71 %ile,34 %ile,5 %ile,70 %ile,13 %ile,24 %ile,59 %ile,11 %ile,66 %ile,74 %ile,44 %ile,13 %ile,201110005001,Kansas,KS,Lyon County,7,1175,1166,669,339,420,564,0.517334404,0.202669591,728,0.619574468,484,0.41509434,0,0,25,0.073746313,202,0.301943199,133,0.113191489,173,0.147234043,0.222564103,7.981125479,64.18037,0.160719402,20,0.4,23.95401406,20.53603173,129,0.307142857,0.015412762,0.281701679,2.101140859,0.744070599,4.02224E-06,22.76271378,8.917462004,36.73074268,14.38954096,17.58936974,6.890766094,2.58667202,1.013347955,36.21340828,14.18687137,6.725347252,2.634704683,12.4160257,4.864070184,30.52272984,11.95750587,5.690678444,2.229365501,34.14407066,13.37619301,38.2827459,14.99754973,22.76271378,8.917462004,6.725347252,2.634704683,8,8,8,8,1,9,10,10,5,8,5,8,4,1,8,2,3,6,2,7,8,5,2,8,8,9,9,7,7,5,5,9,10,4,3,5,5,9,8,3,3,9,9,9,9,7,7,4,3,44 %ile,5984235,52818,0,1,5,1-13 EJ Indexes over 80th %tile,0,1
14,1,45,5098,C,Augusta,Non-cell Components,Thermal Systems,https://www.morganthermalceramics.com/en-gb/industries/battery-safety/,2102 Old Savannah Road,Augusta,GA,30906,706-796-4200,33.4357263,-82.00098639,33.4357263,-82.00098639, , , ,13,245,13245,13,245,010400,4,132450104004,1500000US132450104004,Block Group 4,G5030,S,1942234,23277,+33.4338407,-082.0074029,78,"Block Group 4; Census Tract 104; Richmond County; Georgia""",656,231,332,24,0,0,0,0,343,313,0,0,0,0,0,0,15,0,0,13,245,010400,4,0,0,0,1.3245E+15,132450104004,96,84,87,98,98,92,91,97,97,92,61,93,96,98,90,92,99,99,95,95,98,98,95,65,96,98,89,94,72,96,83,0,92,25,53,98,92,55,64,94,92,73,76,97,97,79,27,82,92,12,96 %ile,84 %ile,87 %ile,98 %ile,98 %ile,92 %ile,91 %ile,97 %ile,97 %ile,92 %ile,61 %ile,93 %ile,96 %ile,98 %ile,90 %ile,92 %ile,99 %ile,99 %ile,95 %ile,95 %ile,98 %ile,98 %ile,95 %ile,65 %ile,96 %ile,98 %ile,89 %ile,94 %ile,72 %ile,96 %ile,83 %ile,0 %ile,92 %ile,25 %ile,53 %ile,98 %ile,55 %ile,64 %ile,94 %ile,92 %ile,73 %ile,76 %ile,97 %ile,97 %ile,79 %ile,27 %ile,82 %ile,92 %ile,132450104004,Georgia,GA,Richmond County,4,554,554,421,210,394,302,0.684115523,0.294700589,333,0.601083033,425,0.767148014,32,0.105960265,0,0,131,0.311163896,13,0.023465704,90,0.162454874,0.289230769,10.13945178,61.69532,0.280978372,40,0.5,2141.078101,214.7190718,359,0.911167513,0.92336594,0.596093213,0.141817708,6.398022664,1.113177334,62.93862812,27.11245419,37.62635377,16.2085324,43.78339347,18.8608377,64.30685916,27.70185537,62.93862812,27.11245419,49.94043318,21.513143,51.99277975,22.39724476,66.35920573,28.58595713,66.35920573,28.58595713,54.04512632,23.28134653,18.47111912,7.956915903,56.09747289,24.1654483,62.93862812,27.11245419,9,10,8,11,9,1,10,3,6,11,10,6,7,10,10,8,8,11,11,8,3,9,10,11,11,9,10,9,10,11,11,11,11,10,11,10,11,11,11,11,11,10,11,7,7,10,11,11,11,92 %ile,1942234,23277,0,0,12,1-13 EJ Indexes over 80th %tile,10,12
15,1,46,5099,C,Elkhart,Non-cell Components,Thermal Systems,https://www.morganthermalceramics.com/en-gb/industries/battery-safety/,2730 Industrial Parkway,Elkhart,IN,46516,706-796-4200,41.6875898,-85.9186354,41.6875898,-85.9186354, , , ,18,039,18039,18,039,001901,1,180390019011,1500000US180390019011,Block Group 1,G5030,S,3226823,0,+41.6829782,-085.9308900,100,"Block Group 1; Census Tract 19.01; Elkhart County; Indiana""",808,523,86,0,28,0,0,0,462,346,0,0,0,0,0,0,148,0,0,18,039,001901,1,0,0,0,1.8039E+15,180390019011,75,65,73,43,28,89,78,78,89,88,87,78,80,76,65,77,42,26,91,82,78,91,90,90,79,81,71,75,60,82,78,81,42,85,83,48,57,41,57,5,4,92,71,62,96,97,94,67,66,6,75 %ile,65 %ile,73 %ile,43 %ile,28 %ile,89 %ile,78 %ile,78 %ile,89 %ile,88 %ile,87 %ile,78 %ile,80 %ile,76 %ile,65 %ile,77 %ile,42 %ile,26 %ile,91 %ile,82 %ile,78 %ile,91 %ile,90 %ile,90 %ile,79 %ile,81 %ile,71 %ile,75 %ile,60 %ile,82 %ile,78 %ile,81 %ile,42 %ile,85 %ile,83 %ile,48 %ile,41 %ile,57 %ile,5 %ile,4 %ile,92 %ile,71 %ile,62 %ile,96 %ile,97 %ile,94 %ile,67 %ile,66 %ile,180390019011,Indiana,IN,Elkhart County,5,769,769,419,302,357,317,0.468790637,0.186657776,325,0.422626788,396,0.514954486,28,0.088328076,23,0.07615894,26,0.062052506,76,0.098829649,202,0.262678804,0.191794872,8.468152,60.06839,0.245497313,20,0.2,9219.608326,175.4588002,124,0.347338936,0.678374532,2.485474405,8.070888596,2.987059295,0.008672048,26.72106631,10.63949323,19.22041612,7.652968816,26.72106631,10.63949323,2.343953185,0.93328888,1.875162548,0.746631104,43.1287386,17.17251539,33.28413523,13.2527021,29.06501949,11.57278211,45.00390115,17.9191465,45.47269179,18.10580427,44.06631988,17.54583094,31.40897268,12.50607099,30.94018204,12.31941322,8,8,7,9,8,9,5,9,9,5,6,5,6,1,1,10,8,7,11,11,10,7,7,8,8,7,7,8,8,5,5,3,3,9,10,8,9,8,8,9,10,9,10,9,10,8,8,9,9,57 %ile,3226823,0,0,3,5,1-13 EJ Indexes over 80th %tile,0,4
16,1,50,5107,C,Paladin Power Inc.,Cell Assemblies/ Groupings,Racks / Cabinets,paladinpower.com,44758 Corte Morelia,Temecula,CA,92592,951-468-1248,33.47590956,-117.0978303,33.47590956,-117.0978303,50, , ,06,065,06065,06,065,043207,3,060650432073,1500000US060650432073,Block Group 3,G5030,S,1279046,0,+33.4731158,-117.1092426,659,"Block Group 3; Census Tract 432.07; Riverside County; California""",2212,1227,0,22,450,0,0,0,787,1425,0,0,0,0,0,0,12,0,0,06,065,043207,3,0,0,0,6.06504E+14,060650432073,59,82,64,39,60,17,62,0,53,40,78,0,84,31,60,39,15,40,6,38,0,23,18,57,0,60,64,21,76,21,50,59,38,15,12,20,40,88,50,5,31,8,50,0,32,22,82,0,91,0,59 %ile,82 %ile,64 %ile,39 %ile,60 %ile,17 %ile,62 %ile,0 %ile,53 %ile,40 %ile,78 %ile,0 %ile,84 %ile,31 %ile,60 %ile,39 %ile,15 %ile,40 %ile,6 %ile,38 %ile,0 %ile,23 %ile,18 %ile,57 %ile,0 %ile,60 %ile,64 %ile,21 %ile,76 %ile,21 %ile,50 %ile,59 %ile,38 %ile,15 %ile,12 %ile,20 %ile,88 %ile,50 %ile,5 %ile,31 %ile,8 %ile,50 %ile,0 %ile,32 %ile,22 %ile,82 %ile,0 %ile,91 %ile,060650432073,California,CA,Riverside County,9,2348,2348,1513,838,915,1401,0.39693356,0.077351377,1585,0.675042589,279,0.118824532,55,0.039257673,9,0.010739857,83,0.054857898,24,0.010221465,143,0.060902896,0.163076923,7.798768493,67.76495,0.218190349,20,0.3,6.9757968,78.30988762,0,0,0.035356958,0.079776128,3.154177243,0,0.870231005,15.8773424,3.09405508,34.93015328,6.806921176,19.846678,3.86756885,1.9846678,0.386756885,12.30494036,2.397892687,3.17546848,0.618811016,19.846678,3.86756885,0,0,12.70187392,2.475244064,8.73253832,1.701730294,32.54855192,6.342812914,0,0,36.12095396,7.038975307,7,3,8,3,6,6,4,2,2,3,5,9,6,1,4,1,6,1,4,3,9,1,10,6,4,9,7,7,4,4,2,7,5,2,1,7,4,1,1,6,3,5,2,8,6,1,1,9,7,40 %ile,1279046,0,0,0,2,1-13 EJ Indexes over 80th %tile,0,0
17,1,51,5108,C,Parker LORD Indianapolis,Non-cell Components,Thermal Systems,lord.com,5101 E 65th St,Indianapolis,IN,46220,877-275-5673,39.87553392,-86.08438512,39.87553392,-86.08438512, , , ,18,097,18097,18,097,320400,2,180973204002,1500000US180973204002,Block Group 2,G5030,S,1989605,0,+39.8723308,-086.0841530,94,"Block Group 2; Census Tract 3204; Marion County; Indiana""",2105,1084,933,9,65,0,0,0,1010,1095,0,0,0,0,0,0,43,0,0,18,097,320400,2,0,0,0,1.80973E+15,180973204002,81,73,77,38,58,71,64,67,78,51,68,74,19,66,58,66,19,43,52,49,44,65,33,54,60,9,59,28,67,39,29,62,15,91,50,48,91,71,87,5,31,63,59,55,84,35,65,77,10,0,81 %ile,73 %ile,77 %ile,38 %ile,58 %ile,71 %ile,64 %ile,67 %ile,78 %ile,51 %ile,68 %ile,74 %ile,19 %ile,66 %ile,58 %ile,66 %ile,19 %ile,43 %ile,52 %ile,49 %ile,44 %ile,65 %ile,33 %ile,54 %ile,60 %ile,9 %ile,59 %ile,28 %ile,67 %ile,39 %ile,29 %ile,62 %ile,15 %ile,91 %ile,50 %ile,48 %ile,71 %ile,87 %ile,5 %ile,31 %ile,63 %ile,59 %ile,55 %ile,84 %ile,35 %ile,65 %ile,77 %ile,10 %ile,180973204002,Indiana,IN,Marion County,5,1948,1948,1235,865,945,1243,0.36036961,0.089996407,993,0.509753593,411,0.210985626,19,0.015285599,15,0.01734104,18,0.014574899,232,0.119096509,303,0.155544148,0.191794872,10.03986466,64.21701,0.440301997,20,0.3,1202.646273,109.2281725,256,0.270899471,0.192896582,0.116346856,1.230495902,4.886271328,1.62761E-06,32.79363451,8.189673037,25.58624231,6.389744897,31.35215607,7.829687409,1.80184805,0.449982035,11.17145791,2.789888617,22.70328543,5.669773641,21.26180699,5.309788013,19.82032855,4.949802385,30.27104724,7.559698188,12.61293635,3.149874245,23.42402465,5.849766455,27.74845997,6.929723339,3.6036961,0.89996407,6,3,7,4,3,7,2,10,6,5,10,8,9,1,4,7,6,6,9,4,7,8,2,9,7,8,6,8,7,4,2,6,5,8,6,7,5,7,5,8,7,6,4,7,6,8,7,2,1,91 %ile,1989605,0,0,0,1,1-13 EJ Indexes over 80th %tile,0,0
18,1,52,5110,UC,Colleton County Battery Plant,Cell Assemblies/ Groupings,Racks / Cabinets,pomega.com, ,Walterboro,SC,29488, ,32.90500672,-80.66896469,32.90500672,-80.66896469,575,3,GWh/yr,45,029,45029,45,029,970502,1,450299705021,1500000US450299705021,Block Group 1,G5030,S,2491272,0,+32.8972748,-080.6700160,18,"Block Group 1; Census Tract 9705.02; Colleton County; South Carolina""",920,112,701,0,1,0,0,0,504,416,0,0,0,0,0,0,269,0,0,45,029,970502,1,0,0,0,4.503E+15,450299705021,72,65,76,86,89,67,77,83,50,89,7,90,41,70,63,78,87,91,63,79,81,43,90,4,91,33,81,83,80,72,65,75,92,0,43,91,41,33,51,52,70,34,55,59,20,82,2,87,16,5,72 %ile,65 %ile,76 %ile,86 %ile,89 %ile,67 %ile,77 %ile,83 %ile,50 %ile,89 %ile,7 %ile,90 %ile,41 %ile,70 %ile,63 %ile,78 %ile,87 %ile,91 %ile,63 %ile,79 %ile,81 %ile,43 %ile,90 %ile,4 %ile,91 %ile,33 %ile,81 %ile,83 %ile,80 %ile,72 %ile,65 %ile,75 %ile,92 %ile,0 %ile,43 %ile,91 %ile,33 %ile,51 %ile,52 %ile,70 %ile,34 %ile,55 %ile,59 %ile,20 %ile,82 %ile,2 %ile,87 %ile,16 %ile,450299705021,South Carolina,SC,Colleton County,4,375,375,311,216,238,261,0.582666667,0.217733841,280,0.746666667,157,0.418666667,16,0.061302682,11,0.050925926,95,0.305466238,0,0,52,0.138666667,0.252307692,7.861833699,59.20005,0.223266574,30,0.4,239.2963856,94.75939431,75,0.31512605,0.022335944,0.712551065,0.022776197,9.252092514,7.37097E-06,23.88933335,8.927087481,19.22800001,7.185216753,29.71600002,11.10442589,30.29866668,11.32215973,40.78666669,15.24136887,19.81066668,7.402950594,32.04666669,11.97536126,34.37733335,12.84629662,11.65333334,4.35467682,47.77866669,17.85417496,1.165333334,0.435467682,50.69200003,18.94284417,9.322666672,3.483741456,9,9,9,8,7,8,10,1,5,10,5,4,6,6,8,4,6,6,3,9,1,9,2,8,8,7,7,8,8,9,9,9,10,7,7,8,8,9,9,6,5,9,10,1,1,10,10,5,4,41 %ile,2491272,0,0,0,5,1-13 EJ Indexes over 80th %tile,1,3
19,1,54,5114,P,Rivian,Cell Assemblies/ Groupings,Packs,https://rivian.com/,"Technology Square, 75 5th Street N",Atlanta,GA,30308,(888) RIVIAN1,33.75,-84.38,33.75,-84.38, ,50,GWh/Yr,13,121,13121,13,121,011901,2,131210119012,1500000US131210119012,Block Group 2,G5030,S,129498,0,+33.7499583,-084.3793722,846,"Block Group 2; Census Tract 119.01; Fulton County; Georgia""",606,152,430,0,24,0,0,0,165,441,0,0,0,0,0,0,219,0,0,13,121,011901,2,0,0,0,1.3121E+15,131210119012,98,98,99,99,99,84,99,71,98,92,94,98,24,95,95,95,98,96,75,95,53,94,86,89,94,14,95,85,83,96,88,0,12,40,0,,93,92,98,94,92,44,98,28,91,68,73,94,6,10,98 %ile,98 %ile,99 %ile,99 %ile,99 %ile,84 %ile,99 %ile,71 %ile,98 %ile,92 %ile,94 %ile,98 %ile,24 %ile,95 %ile,95 %ile,95 %ile,98 %ile,96 %ile,75 %ile,95 %ile,53 %ile,94 %ile,86 %ile,89 %ile,94 %ile,14 %ile,95 %ile,85 %ile,83 %ile,96 %ile,88 %ile,0 %ile,12 %ile,40 %ile,0 %ile,,92 %ile,98 %ile,94 %ile,92 %ile,44 %ile,98 %ile,28 %ile,91 %ile,68 %ile,73 %ile,94 %ile,6 %ile,131210119012,Georgia,GA,Fulton County,4,565,563,255,323,383,326,0.793415489,0.229107206,456,0.807079646,439,0.779751332,42,0.128834356,0,0,2,0.007843137,22,0.038938053,0,0,,10.22457562,69.17086,0.939454196,40,0.6,428.5424655,2354.824946,23,0.060052219,0.307885496,0.31056814,1.94323458,17.04649294,4.65178E-07,73.78764048,21.30697016,72.99422499,21.07786295,77.75471792,22.45250619,74.58105597,21.53607736,72.99422499,21.07786295,34.91028152,10.08071706,77.75471792,22.45250619,22.21563369,6.415001768,72.2008095,20.84875575,53.95225325,15.57929001,57.9193307,16.72482604,74.58105597,21.53607736,4.760492934,1.374643236,11,9,9,11,9,1,2,5,1,,10,10,11,10,10,5,11,3,10,7,8,10,1,11,11,11,11,11,11,11,11,11,11,9,8,11,11,8,6,11,10,10,9,10,9,11,10,3,2,93 %ile,129498,0,0,0,11,1-13 EJ Indexes over 80th %tile,10,8
20,1,56,5116,C,Cockeysville,Cell Assemblies/ Groupings,Modules/ Arrays,saftbatteries.com,711 Gil Harbin Industrial Blvd,Valdosta,GA,31601,229-247-2331,30.80172668,-83.28684599,30.80172668,-83.28684599, , , ,13,185,13185,13,185,011402,2,131850114022,1500000US131850114022,Block Group 2,G5030,S,11468679,627075,+30.8078528,-083.2890797,68,"Block Group 2; Census Tract 114.02; Lowndes County; Georgia""",1558,664,844,14,0,0,0,0,990,568,0,0,0,0,0,0,51,0,0,13,185,011402,2,0,0,0,1.3185E+15,131850114022,81,70,73,85,94,90,61,81,57,91,87,87,94,80,67,73,85,95,89,58,77,51,90,87,87,93,80,79,73,82,29,0,86,0,9,84,59,40,47,52,92,80,34,57,26,91,78,79,97,8,81 %ile,70 %ile,73 %ile,85 %ile,94 %ile,90 %ile,61 %ile,81 %ile,57 %ile,91 %ile,87 %ile,87 %ile,94 %ile,80 %ile,67 %ile,73 %ile,85 %ile,95 %ile,89 %ile,58 %ile,77 %ile,51 %ile,90 %ile,87 %ile,87 %ile,93 %ile,80 %ile,79 %ile,73 %ile,82 %ile,29 %ile,0 %ile,86 %ile,0 %ile,9 %ile,84 %ile,40 %ile,47 %ile,52 %ile,92 %ile,80 %ile,34 %ile,57 %ile,26 %ile,91 %ile,78 %ile,79 %ile,97 %ile,131850114022,Georgia,GA,Lowndes County,4,1888,750,1452,301,352,453,0.566801554,0.201456602,1161,0.614936441,389,0.518666667,7,0.015452539,0,0,346,0.238292011,4,0.002118644,95,0.050317797,0.234871795,8.523647123,59.93456,0.207797774,30,0.5,3217.915679,36.96089452,101,0.286931818,0.02780865,1.230071758,2.539933703,5.550442007,16.94214585,33.44129169,11.88593952,22.67206216,8.05826408,26.63967304,9.468460294,29.47368081,10.4757433,52.14574297,18.53400738,45.34412432,16.11652816,19.27125284,6.849524468,32.30768858,11.48302631,14.7368404,5.237871652,51.57894141,18.33255078,44.21052121,15.71361496,44.77732277,15.91507156,54.97975074,19.54129039,9,8,8,9,3,1,9,1,1,9,6,5,5,6,10,9,4,6,3,10,8,8,11,9,9,8,7,8,8,9,9,10,11,10,9,7,6,9,8,6,6,10,10,9,9,9,9,10,10,59 %ile,11468679,627075,0,4,9,1-13 EJ Indexes over 80th %tile,4,3
